Date,Open,High,Low,Close,Volume,Adj Close
3/13/1986,25.5,29.75,25.5,27.5,155827200,0.07
4/1/1986,27.5,35.13,26.75,32.25,26274700,0.08
5/1/1986,32.25,35.5,31,35,17167500,0.09
6/2/1986,35,35,29.5,30.75,16959000,0.08
7/1/1986,30.75,31.5,26,28.5,21656200,0.07
8/1/1986,28.5,30.75,27.25,28.5,13889800,0.07
9/2/1986,28.5,31.5,26.25,28.25,13824000,0.07
10/1/1986,28.25,40.25,27.5,38.75,70845400,0.1
11/3/1986,39,51.25,39,49.75,57646900,0.13
12/1/1986,49.75,50,45.25,48.25,33858300,0.12
1/2/1987,48.25,77.5,47.5,73.12,98369800,0.19
2/2/1987,73.12,79.5,66.5,76.75,98517200,0.2
3/2/1987,76.75,99,73.5,96.75,86757300,0.25
4/1/1987,96.75,109,90.5,104,105077400,0.27
5/1/1987,104,128.25,102.75,115.25,113621700,0.3
6/1/1987,115.25,115.25,96.25,102,80349300,0.26
7/1/1987,101.75,105.75,88.5,94,90916300,0.24
8/3/1987,94,121.25,91.25,118.75,100916500,0.31
9/1/1987,118,120,53,66.25,78122900,0.34
10/1/1987,66.25,79.25,37.25,49.75,169804500,0.26
11/2/1987,49.25,52,40.5,44.75,85716600,0.23
12/1/1987,44.5,56,40,54.25,83714900,0.28
1/4/1988,54.75,61.75,52.5,55.75,101674000,0.29
2/1/1988,56.75,60.75,49.75,59.38,72160400,0.31
3/1/1988,59.75,65.5,54.25,56.5,94083300,0.29
4/4/1988,56,58.75,52.75,54.5,60992800,0.28
5/2/1988,54.5,59.25,53.5,58,51287700,0.3
6/1/1988,58.25,67.5,57.75,67,55914900,0.35
7/1/1988,67,70.5,56.75,59.5,73024100,0.31
8/1/1988,59.75,60,47.75,50,84106900,0.26
9/1/1988,49.5,55.25,48,52.25,59705600,0.27
10/3/1988,51.25,54,47.75,49,74922300,0.25
11/1/1988,49,50.5,45.25,47.25,75909700,0.24
12/1/1988,47.5,54.25,47,53.25,52107700,0.27
1/3/1989,53.5,60.25,50.25,59.63,71435800,0.31
2/1/1989,59.5,64.75,58.5,59.5,97135600,0.31
3/1/1989,60,62.25,45.75,49.88,140382800,0.26
4/3/1989,50,56.5,47.5,55.88,60229200,0.29
5/1/1989,55.38,61,51,60.5,60905700,0.31
6/1/1989,60.25,60.75,51.25,53,51809400,0.27
7/3/1989,53.13,57,51.5,54.75,62716900,0.28
8/1/1989,54.75,60.5,54,58.75,60648200,0.3
9/1/1989,59,69.5,57.75,68.5,67441400,0.35
10/2/1989,68.25,86,68,81.75,121160800,0.42
11/1/1989,81.75,89.25,76,87,92717200,0.45
12/1/1989,87.12,88.25,75,87,76913900,0.45
1/2/1990,87.25,96,84,92.5,113358400,0.48
2/1/1990,92.5,100.5,92.25,98.75,77297000,0.51
3/1/1990,98.5,117,98.5,110.75,79749600,0.57
4/2/1990,109.75,122,55.63,58,62612800,0.6
5/1/1990,58.75,78.75,56.75,73,77462100,0.75
6/1/1990,73.25,77.75,71,76,57184100,0.78
7/2/1990,76,80.75,65.75,66.5,75773800,0.69
8/1/1990,66.25,67.25,50.75,61.5,88022900,0.63
9/4/1990,61,63.5,54.5,63,72041600,0.65
10/1/1990,64.75,68.5,53.5,63.75,98229500,0.66
11/1/1990,63,74.25,62.75,72.25,63108800,0.74
12/3/1990,73.25,76.75,70.5,75.25,49183600,0.78
1/2/1991,75,99.5,73,98.12,105961100,1.01
2/1/1991,99,109,97.25,103.75,96660300,1.07
3/1/1991,103,113,93,106.12,98149700,1.09
4/1/1991,106,117.5,96,99,95496000,1.02
5/1/1991,98.5,112.5,96.62,109.75,70202000,1.13
6/3/1991,109.5,114.75,65.5,68.12,67844600,1.05
7/1/1991,68.75,74,60.5,73.5,77222400,1.14
8/1/1991,73.75,86.75,71.75,85.25,59235300,1.32
9/3/1991,85,90,80,89,43088100,1.38
10/1/1991,89,95.25,86.25,93.87,47956400,1.45
11/1/1991,93.5,101.75,90.75,97.25,45387300,1.5
12/2/1991,96.25,112,96,111.25,40441200,1.72
1/2/1992,110.75,133.25,109.5,120.25,69039400,1.86
2/3/1992,118.25,129,113,123.5,76436200,1.91
3/2/1992,123.75,130.25,116.75,118.5,58679800,1.83
4/1/1992,117.25,129.25,107,110.25,106419800,1.7
5/1/1992,110.5,122.25,109.25,121,57956800,1.87
6/1/1992,120.5,124.5,65.75,70,75038100,1.62
7/1/1992,70.25,74.75,65.5,72.75,58204900,1.69
8/3/1992,72.75,75,68,74.5,43570200,1.73
9/1/1992,74,82,73.25,80.5,50607800,1.87
10/1/1992,80,90.25,75.75,88.75,53259900,2.06
11/2/1992,89,95,87.25,93.12,63120600,2.16
12/1/1992,92.75,94,85.25,85.37,52917200,1.98
1/4/1993,85,94,84.5,86.5,72537700,2.01
2/1/1993,86.25,90.25,76.75,83.37,83061800,1.93
3/1/1993,83.75,94.25,81.25,92.5,59896400,2.14
4/1/1993,92.5,94.75,79.75,85.5,64069400,1.98
5/3/1993,85.5,95.5,84.5,92.62,66979200,2.15
6/1/1993,93,98,86.75,88,57846900,2.04
7/1/1993,88.25,88.5,72,74,106730900,1.72
8/2/1993,74.75,79.25,70.37,75.12,89295500,1.74
9/1/1993,75.25,84.25,73.25,82.5,57183800,1.91
10/1/1993,82.5,85.75,78,80.12,67171200,1.86
11/1/1993,80.25,83,76,80,48127000,1.85
12/1/1993,80.5,86.5,79.25,80.62,43535400,1.87
1/3/1994,80.5,87,79.25,85.12,61724600,1.97
2/1/1994,85,85.75,78,82.5,74958600,1.91
3/1/1994,83,89.25,79.75,84.75,63035100,1.96
4/4/1994,82.5,95.25,82,92.5,101490600,2.14
5/2/1994,92.75,99.25,48.5,53.75,81232900,2.49
6/1/1994,53.5,54.63,49.25,51.63,112728200,2.39
7/1/1994,51.63,51.75,46.88,51.5,79751500,2.39
8/1/1994,51.63,59.25,51.5,58.13,58781100,2.7
9/1/1994,57,58.25,54.88,56.13,47593200,2.6
10/3/1994,56.13,63.75,53.88,63,60337500,2.92
11/1/1994,62.75,65.12,60.75,62.88,50724800,2.92
12/1/1994,62.63,64.25,58.75,61.13,51430400,2.83
1/3/1995,61.5,65.25,58.25,59.38,55788300,2.75
2/1/1995,59.38,63.25,58.38,63,55326400,2.92
3/1/1995,63.13,74.12,62.75,71.12,64295800,3.3
4/3/1995,71,82.12,68.75,81.75,73246000,3.79
5/1/1995,81.87,89.5,78.87,84.69,66036200,3.93
6/1/1995,85,92.37,81.75,90.37,60169600,4.19
7/3/1995,90.87,109.25,88.5,90.5,121614700,4.2
8/1/1995,90.75,100.75,87,92.5,94326500,4.29
9/1/1995,91.75,97.87,83.37,90.5,85874400,4.2
10/2/1995,90.5,103.37,80.37,100,105458800,4.64
11/1/1995,100.12,101,84.25,87.12,93544300,4.04
12/1/1995,87.12,94.75,85.12,87.75,85297800,4.07
1/2/1996,87.87,93.25,79.87,92.5,96608600,4.29
2/1/1996,92.25,103.62,92,98.69,84932600,4.58
3/1/1996,98.37,107.06,94.62,103.12,83450400,4.78
4/1/1996,103.14,113.87,99.62,113.25,65463000,5.25
5/1/1996,112.87,120,109.62,118.75,56708500,5.51
6/3/1996,118.75,125.87,116.25,120.12,66605100,5.57
7/1/1996,120.25,122.87,107.5,117.87,101509800,5.46
8/1/1996,117.87,126.12,117.37,122.5,53270500,5.68
9/3/1996,122,138.63,120.62,131.88,69450400,6.11
10/1/1996,131.75,139.13,130.88,137.25,59898400,6.36
11/1/1996,137.25,158,136.5,156.88,81906000,7.27
12/2/1996,157.5,159.5,76.37,82.62,71113800,7.66
1/2/1997,83.12,103.25,80.75,102,75104400,9.46
2/3/1997,102.62,103.5,94,97.5,72398100,9.04
3/3/1997,97,101,87.62,91.69,78573200,8.5
4/1/1997,90.12,122.62,89.75,121.5,90802500,11.27
5/1/1997,122,129.06,114.87,124,65770100,11.5
6/2/1997,125,134.94,118.25,126.37,48022600,11.72
7/1/1997,126.44,150.75,123.25,141.38,78917500,13.11
8/1/1997,141.38,144.63,131,132.19,57472700,12.26
9/2/1997,133.13,140.25,130.63,132.31,57024100,12.27
10/1/1997,132.5,139.63,123.5,130,68703800,12.05
11/3/1997,131.63,142.25,129,141.5,49124300,13.12
12/1/1997,141.94,146.63,118,129.25,67425900,11.99
1/2/1998,129.63,150.13,124.37,149.19,76808900,13.83
2/2/1998,151.75,160.06,79.37,84.75,76292100,15.72
3/2/1998,85.87,90.94,79.25,89.5,51732000,16.6
4/1/1998,89.81,99.12,86.62,90.12,51116700,16.71
5/1/1998,90.19,91,81.87,84.81,56473600,15.73
6/1/1998,83.87,108.56,83.12,108.37,59552800,20.1
7/1/1998,109.12,119.62,105.37,109.94,58318300,20.39
8/3/1998,109.12,113.75,95.75,95.94,70606100,17.79
9/1/1998,95.25,114.62,94.5,110.06,58628500,20.41
10/1/1998,108.06,110.12,87.75,105.87,77380500,19.63
11/2/1998,106.37,130.27,104.75,122,61680300,22.63
12/1/1998,120.25,144,120.12,138.69,51152500,25.72
1/4/1999,139.61,175.13,136,175,81688900,32.46
2/1/1999,175.44,175.94,143.98,150.13,87282900,27.84
3/1/1999,149.56,180.38,87.87,89.62,70789600,33.24
4/1/1999,91.25,95.62,79.87,81.31,58198000,30.16
5/3/1999,81.44,81.81,75.5,80.69,58290200,29.93
6/1/1999,80.62,90.25,76.12,90.19,42956400,33.45
7/1/1999,89.87,100.75,85.5,85.81,56944200,31.83
8/2/1999,85.69,96.37,81.62,92.56,63403500,34.33
9/1/1999,92.31,97.87,88.81,90.56,48796600,33.59
10/1/1999,90.19,95.25,85.06,92.56,54369300,34.33
11/1/1999,93.25,94.5,84.37,91.05,72828600,33.77
12/1/1999,91.06,119.94,90.87,116.75,57886100,43.3
1/3/2000,117.37,118.62,94.87,97.87,67403400,36.3
2/1/2000,98.5,110,88.12,89.37,69646200,33.15
3/1/2000,89.62,115,88.94,106.25,90976900,39.41
4/3/2000,94.44,96.5,65,69.75,122959400,25.87
5/1/2000,72.87,74,60.38,62.56,63609000,23.2
6/1/2000,64.37,82.19,63.81,80,69063900,29.67
7/3/2000,79.69,82.87,67.25,69.81,65223400,25.89
8/1/2000,69.94,74.87,68.12,69.81,56172800,25.89
9/1/2000,70,72.06,58.63,60.31,74979300,22.37
10/2/2000,60.5,70.12,48.44,68.87,116994900,25.55
11/1/2000,68.5,72.37,57,57.38,103841100,21.28
12/1/2000,58.06,60.63,40.31,43.38,107832200,16.09
1/2/2001,44.13,64.75,42.88,61.06,99401400,22.65
2/1/2001,60.81,65.06,53.88,59,85342300,21.88
3/1/2001,58.56,61.13,49.75,54.69,90297700,20.29
4/2/2001,54.81,71.1,51.06,67.75,107508700,25.13
5/1/2001,67.66,72.15,67.25,69.18,83999400,25.66
6/1/2001,69.6,76.15,66.01,73,73498100,27.08
7/2/2001,72.05,73.15,64.2,66.19,72106300,24.55
8/1/2001,66.8,67.54,56.3,57.05,52686800,21.16
9/4/2001,57.19,59.08,47.5,51.17,108497700,18.98
10/1/2001,50.94,63.63,50.41,58.15,78938700,21.57
11/1/2001,60.08,68.34,59.6,64.21,65676300,23.82
12/3/2001,63.83,69.89,63.8,66.25,51004700,24.57
1/2/2002,66.65,70.62,61.33,63.71,68080000,23.63
2/1/2002,64.15,64.5,57.15,58.34,63117200,21.64
